CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
15600053,Surname_53,593,Germany,Female,35,4,176416.48170197892,1,0,0,56183.575828828885,0
15600054,Surname_54,669,Germany,Male,28,0,66920.25156770373,2,0,1,138647.38766615308,0
15600055,Surname_55,480,France,Female,64,7,12141.2230667384,2,0,0,25342.084433947566,0
15600056,Surname_56,834,Spain,Male,20,2,244695.2490442877,3,1,1,34062.078682913416,0
15600057,Surname_57,656,France,Male,19,1,36962.06999001564,1,1,1,194391.5399727508,0
15600058,Surname_58,484,France,Female,71,6,207641.8353541112,1,1,1,63513.630346349826,0
15600059,Surname_59,370,France,Male,89,10,49379.35337743301,3,1,0,16298.011377670788,0
15600060,Surname_60,678,Spain,Male,48,1,93523.84174004103,3,0,0,100182.26851647084,1
15600061,Surname_61,516,France,Male,25,0,173397.39760047113,3,1,0,174795.40754444766,0
15600062,Surname_62,623,France,Male,60,10,236341.2228702817,3,0,1,73330.00523942395,0
15600063,Surname_63,737,Germany,Male,65,1,4945.589020059149,2,0,1,89671.51717078454,0
15600064,Surname_64,438,France,Male,19,5,65192.03947032065,2,1,0,39801.25699197505,0
15600065,Surname_65,665,Germany,Female,39,1,191241.42296593083,3,0,1,75757.63725671967,1
15600066,Surname_66,363,Spain,Male,22,0,43348.45872240525,4,0,1,193428.49007241207,0
15600067,Surname_67,591,Spain,Male,24,0,27863.77970397402,3,0,1,176670.2209007803,0
15600068,Surname_68,614,France,Female,37,3,11546.177861721213,4,0,1,150571.64273643127,0
15600069,Surname_69,695,France,Female,19,7,125622.49879509787,4,0,1,159381.45404189097,0
15600070,Surname_70,402,France,Female,49,5,191933.4128426814,1,1,0,137176.0715485686,0
15600071,Surname_71,735,France,Male,20,3,240433.6411731778,4,1,0,32410.96069584534,0
15600072,Surname_72,689,France,Female,58,5,66871.48730875924,4,1,1,32314.699183464323,0
15600073,Surname_73,441,France,Female,59,5,30343.100397842936,4,0,1,112065.50419903421,0
15600074,Surname_74,716,Spain,Male,62,8,100638.3182913872,2,0,0,123135.6735004455,0
15600075,Surname_75,793,Spain,Female,88,3,13860.07536116443,1,1,1,194646.17981709243,0
15600076,Surname_76,804,France,Male,34,5,82839.9129311648,1,0,1,95723.42282388244,0
15600077,Surname_77,777,France,Male,64,9,160769.9976240401,4,1,1,184320.75359489198,0
15600078,Surname_78,613,France,Male,86,0,42041.50589340161,2,0,1,198163.7290895468,0
15600079,Surname_79,780,France,Male,41,6,157969.18775172287,3,0,1,170455.23471010345,1
15600080,Surname_80,384,Germany,Male,88,6,242987.2593970537,2,1,1,85806.29446958647,0
15600081,Surname_81,555,Germany,Female,51,10,216049.97987549746,1,0,0,153153.22045528356,0
15600082,Surname_82,430,Spain,Male,67,0,89208.71364574692,4,0,0,113637.74449100814,0
15600083,Surname_83,769,Germany,Female,59,7,105374.0708606763,2,1,1,47775.221164691065,1
15600084,Surname_84,399,Germany,Male,50,4,104830.1750702319,4,1,0,34643.31311823793,0
15600085,Surname_85,709,Germany,Female,44,8,214975.22259579037,3,1,1,23315.744650104374,0
15600086,Surname_86,737,France,Male,76,7,248456.76805721852,2,1,0,72022.2994358819,0
15600087,Surname_87,351,Germany,Male,36,2,206473.92045239356,3,1,1,140864.56384170701,0
15600088,Surname_88,739,France,Male,20,0,139529.544524518,3,1,0,183632.68635741418,0
15600089,Surname_89,403,France,Female,88,2,24341.510193720827,1,0,1,70883.13346568015,0
15600090,Surname_90,455,France,Female,42,1,238621.0371648922,1,0,0,110894.07497074052,0
15600091,Surname_91,609,France,Female,32,1,215011.45005451687,4,1,1,99074.23004226497,0
15600092,Surname_92,659,Spain,Male,77,10,210352.71218427856,3,0,1,30665.001816786014,0
15600093,Surname_93,826,France,Male,40,3,97954.47357830203,3,0,1,154452.9868517139,0
15600094,Surname_94,540,France,Female,28,1,111792.84465012385,1,1,0,108680.62877158959,0
15600095,Surname_95,751,France,Male,76,7,29915.444268766438,3,0,1,184288.58864735035,0
15600096,Surname_96,567,Germany,Female,51,4,234468.2459292347,2,0,1,168735.34975677464,0
15600097,Surname_97,393,France,Male,24,0,235808.5908166606,3,0,1,62871.93161488211,1
15600098,Surname_98,511,Spain,Female,61,5,63610.31696518238,3,1,0,69397.68438726528,0
15600099,Surname_99,551,Spain,Female,81,6,174001.95274334427,1,0,1,112027.3502448454,0
15600100,Surname_100,795,Germany,Male,40,0,50872.43435343411,1,1,0,33777.74130284003,1
15600101,Surname_101,833,Germany,Female,75,2,98236.77009204462,4,1,0,57712.63935776208,0
15600102,Surname_102,619,France,Male,37,8,75595.34302119269,1,0,1,166007.66956884132,0
15600103,Surname_103,700,France,Male,44,6,97397.74942431728,2,0,1,39070.79704979046,0
15600104,Surname_104,653,Spain,Male,77,3,77243.17713567,3,1,1,113785.90620521508,0
15600105,Surname_105,620,France,Female,25,5,86322.83141440713,4,1,1,84853.458282821,0
15600106,Surname_106,805,France,Female,84,5,197765.0651188947,3,1,0,48176.869116548805,0
15600107,Surname_107,811,Germany,Female,19,2,75006.785398188,1,0,0,194257.00264056426,0
15600108,Surname_108,564,France,Male,39,1,203673.8661034,3,1,1,166773.4560988462,0
15600109,Surname_109,601,Spain,Male,87,4,141980.54466093925,3,1,1,60669.8751347155,0
15600110,Surname_110,539,France,Female,53,7,195111.19289548043,2,1,0,159203.6584190094,1
15600111,Surname_111,645,Spain,Male,41,2,229722.6626133677,3,1,1,11219.37194126185,0
15600112,Surname_112,562,Germany,Male,29,4,34606.2376269623,2,1,0,62737.49918291105,0
15600113,Surname_113,557,Spain,Female,39,2,85972.5627305015,3,0,0,30519.633573158342,0
15600114,Surname_114,586,France,Female,90,6,13889.373952140737,1,0,0,90575.55956473235,0
15600115,Surname_115,687,Germany,Male,40,5,101727.50872725552,4,0,0,131203.44787284377,0
15600116,Surname_116,716,Spain,Male,91,5,59350.73268026145,1,1,0,42549.07254009826,1
15600117,Surname_117,402,France,Female,80,0,142919.65383981902,4,1,0,55424.01451250228,0
15600118,Surname_118,629,France,Female,47,1,195847.4632255932,3,0,1,84613.75752541299,0
15600119,Surname_119,759,Germany,Male,36,5,121591.49442822146,1,0,1,129847.42354279349,0
15600120,Surname_120,566,Germany,Male,43,7,83405.63923456546,2,0,1,69038.00672726694,0
15600121,Surname_121,601,France,Male,28,4,38139.091467411265,1,1,1,124285.54178309912,1
15600122,Surname_122,537,Spain,Female,37,1,6707.537706275913,2,1,1,76357.525387105,0
15600123,Surname_123,729,France,Male,73,4,169470.75282040614,3,0,0,58993.61621193369,0
15600124,Surname_124,842,France,Male,62,8,7636.448433872678,3,0,0,172459.47624449924,0
15600125,Surname_125,390,Spain,Male,85,5,230209.6532308989,4,1,0,82765.2487952544,1
15600126,Surname_126,506,Germany,Male,64,4,148557.5062871045,1,1,1,184491.10839675282,0
15600127,Surname_127,364,Spain,Male,75,9,88323.82916303277,3,1,0,68059.18309272826,1
15600128,Surname_128,650,Spain,Male,27,5,10478.397589441274,4,0,0,113145.71089545167,0
15600129,Surname_129,414,France,Female,39,10,103371.63819760042,4,0,1,20183.270056839578,1
15600130,Surname_130,694,France,Female,88,8,216824.88367713057,3,1,0,139251.88696566178,0
15600131,Surname_131,676,France,Female,41,6,242455.8344632511,2,0,1,161139.81451004508,0
15600132,Surname_132,358,Germany,Male,83,9,21232.096325640632,2,0,0,194568.59559586894,0
15600133,Surname_133,693,Spain,Female,78,2,194284.52686700883,4,1,1,168956.16683128205,0
15600134,Surname_134,478,France,Male,24,9,64589.403779601984,3,1,0,69378.7611295573,1
15600135,Surname_135,841,France,Male,89,9,94859.22481693047,1,0,1,115754.51629847265,0
15600136,Surname_136,485,France,Male,55,4,136918.14012276163,1,1,1,122456.03707113068,0
15600137,Surname_137,821,Spain,Male,38,3,248682.1923072882,4,0,0,20789.30015137243,0
15600138,Surname_138,412,France,Male,25,10,52203.72441482202,1,0,1,23804.818987530085,0
15600139,Surname_139,488,France,Female,45,4,32624.59581821428,3,1,1,71903.25967912812,0
15600140,Surname_140,848,Germany,Female,71,7,148744.2466198767,1,0,0,151440.56289511904,0
15600141,Surname_141,430,Spain,Female,48,10,213262.24943953,1,0,0,64251.395717394786,0
15600142,Surname_142,741,Germany,Male,58,5,162053.9494696735,3,1,0,176083.79392249326,0
15600143,Surname_143,512,Germany,Female,54,3,86894.10031886416,2,1,0,132548.21267752774,0
15600144,Surname_144,768,France,Male,55,4,244245.6419739718,2,1,0,98946.22841592827,0
15600145,Surname_145,638,Germany,Female,68,10,248758.0211602198,4,1,0,112706.15311897734,0
15600146,Surname_146,728,Germany,Female,54,6,192662.27569421192,3,0,1,72971.51252181809,0
15600147,Surname_147,610,Spain,Female,48,7,200604.07472987878,2,0,0,195043.97695410854,1
15600148,Surname_148,839,France,Female,79,4,190210.41562921953,1,0,0,43431.638343035454,0
15600149,Surname_149,580,France,Female,35,1,64415.23950136113,4,0,0,173475.395950086,1
15600150,Surname_150,390,France,Female,23,5,37566.034711345645,3,0,1,138848.6348425593,0
15600151,Surname_151,377,France,Male,26,8,138588.37618957847,3,1,0,145196.7119530295,0
15600152,Surname_152,484,Spain,Male,28,2,238536.54940914112,4,1,1,168804.05977644233,0
15600153,Surname_153,550,France,Male,19,6,219573.0723055962,2,1,0,35882.404947183924,0
15600154,Surname_154,677,France,Male,46,7,26714.9338726764,4,0,1,142080.55196173803,0
15600155,Surname_155,617,France,Male,68,5,14247.791630045858,4,1,0,157491.33825085338,0
15600156,Surname_156,767,France,Female,86,2,218442.6969433099,3,0,0,197076.59478791177,1
15600157,Surname_157,382,France,Male,40,0,153253.76805248455,3,1,1,152036.20768973642,0
15600158,Surname_158,397,France,Male,24,2,76080.26027214345,1,1,0,190833.11168422658,0
15600159,Surname_159,756,France,Male,73,10,140442.0372270504,4,1,0,171449.37808878222,0
15600160,Surname_160,411,Germany,Male,79,5,55417.14790059371,3,1,1,176379.44956076043,0
15600161,Surname_161,565,Germany,Male,91,10,236737.95212689665,3,1,0,184214.9751192885,0
15600162,Surname_162,642,France,Male,32,3,206799.4246162643,3,0,1,110920.20075085272,0
15600163,Surname_163,448,Spain,Male,70,0,240559.50419945366,3,0,0,145093.78053116985,0
15600164,Surname_164,521,Germany,Male,60,5,46764.29523917247,4,0,0,33552.20875615294,0
15600165,Surname_165,709,Spain,Male,52,0,210917.60656864516,4,0,1,77725.16441870065,0
15600166,Surname_166,563,France,Female,31,7,140071.40549152644,2,0,0,177086.8600081823,0
15600167,Surname_167,824,France,Male,86,2,81247.99874397976,4,0,1,195759.53208800705,0
15600168,Surname_168,384,France,Male,66,2,119915.83875889277,3,1,0,31217.201406930228,0
15600169,Surname_169,798,France,Female,35,0,236095.99387361645,1,1,1,121364.47449504872,1
15600170,Surname_170,576,France,Female,68,2,172863.22183386591,4,1,0,149573.6195466631,0
15600171,Surname_171,450,Spain,Male,18,6,89978.88816989085,2,0,1,108055.13194332394,0
15600172,Surname_172,780,France,Male,44,9,249974.92107557278,4,0,0,54262.78808988128,1
15600173,Surname_173,811,France,Male,81,7,86435.73008284697,3,0,0,17926.61456231297,0
15600174,Surname_174,480,Germany,Female,77,10,203429.9458480245,2,1,1,190784.49754946254,0
15600175,Surname_175,606,France,Male,58,7,196094.3375322124,3,1,1,54997.581598669145,1
15600176,Surname_176,354,Germany,Female,38,2,180731.65951817142,3,1,0,66830.0329384704,0
15600177,Surname_177,567,Germany,Female,31,4,167359.0732503857,4,1,1,132129.1898307055,0
15600178,Surname_178,604,Spain,Female,37,0,27166.348144698593,4,1,1,91439.52649249652,0
15600179,Surname_179,747,Spain,Female,28,8,248738.98594234744,2,1,1,90458.9921377175,0
15600180,Surname_180,708,France,Female,83,7,40260.70413272736,2,0,1,25694.612985657724,1
15600181,Surname_181,632,Germany,Male,41,9,149033.50446835105,2,0,0,198456.63961377373,1
15600182,Surname_182,742,Spain,Male,54,1,62286.95142748539,2,1,1,64036.63968981209,0
15600183,Surname_183,556,Spain,Female,41,9,42194.379517965644,1,1,0,30903.562719160975,1
15600184,Surname_184,364,France,Female,32,0,139866.3428630953,2,0,1,139498.3928490813,0
15600185,Surname_185,695,Spain,Female,29,3,209086.0412804334,4,1,0,152919.15991888483,0
15600186,Surname_186,391,France,Female,81,8,94236.41411555384,1,0,1,14817.455858792326,0
15600187,Surname_187,729,Spain,Male,48,7,19292.223407939622,3,1,0,61157.098515073594,1
15600188,Surname_188,810,France,Female,70,2,155939.72822711404,3,1,0,46929.50707332509,0
15600189,Surname_189,528,Germany,Female,89,9,191607.56348084877,2,1,0,159863.39511270786,1
15600190,Surname_190,412,Spain,Male,61,5,74021.12672544667,3,1,1,44913.16027080616,0
15600191,Surname_191,701,France,Male,47,8,172647.41878008697,1,0,1,54693.92374570969,0
15600192,Surname_192,580,France,Male,52,9,18947.58061075069,4,0,1,197498.32124330156,1
15600193,Surname_193,590,France,Male,38,7,90357.09709204415,4,1,1,143401.08725355452,0
15600194,Surname_194,401,Spain,Female,80,9,118532.84792816141,1,0,0,83655.32425726551,0
15600195,Surname_195,445,Spain,Female,34,4,195490.91249285257,2,1,1,153233.22361253446,0
15600196,Surname_196,737,Germany,Female,29,8,84535.42728964219,2,0,0,98630.09873138121,0
15600197,Surname_197,571,Germany,Female,35,8,113424.9480991581,2,0,1,50406.79433118489,0
15600198,Surname_198,834,Spain,Female,77,2,157088.50446756554,1,1,0,102714.7883200727,0
15600199,Surname_199,756,France,Female,84,7,156019.9904975877,2,0,0,156684.6279334426,0
15600200,Surname_200,580,France,Female,32,3,129440.05085085078,4,1,0,43884.100793834084,0
15600201,Surname_201,586,Germany,Female,33,9,82118.67743761631,1,0,1,102251.14033254063,0
15600202,Surname_202,492,France,Female,39,6,167481.1615238949,1,1,0,32671.0056311903,1
15600203,Surname_203,520,France,Male,80,9,209288.5862753347,3,0,0,170109.47225788038,0
15600204,Surname_204,378,France,Female,48,7,38453.52250153178,3,1,1,165573.03035243464,1
15600205,Surname_205,385,France,Male,18,6,85115.44571201218,2,0,1,137956.59827031242,0
15600206,Surname_206,362,Spain,Male,23,4,167187.10049894822,2,1,0,184804.25221297762,0
15600207,Surname_207,509,France,Male,26,10,188943.8729717992,4,1,1,85990.45516431294,1
15600208,Surname_208,676,Germany,Male,69,0,195364.91152631515,2,0,0,35075.59515363672,0
15600209,Surname_209,536,France,Female,79,7,163318.00487183314,4,0,1,195370.13565090255,0
15600210,Surname_210,592,France,Male,75,4,119567.55280305786,2,0,0,107484.3393334464,0
15600211,Surname_211,435,France,Male,36,2,161449.9011068627,4,1,1,100347.86432757771,0
15600212,Surname_212,633,Spain,Female,30,1,33761.13203604428,1,1,0,22107.475924390106,0
15600213,Surname_213,415,Germany,Male,49,2,51940.30455647763,4,0,1,118371.60118122197,0
15600214,Surname_214,519,Spain,Female,26,8,231882.76016089405,2,0,1,132500.80586793897,0
15600215,Surname_215,394,Germany,Female,66,1,230542.74571254625,3,0,1,99905.73699405418,0
15600216,Surname_216,411,Germany,Female,54,9,180970.956235836,2,1,1,182977.68402049484,0
15600217,Surname_217,790,Germany,Female,48,0,81761.80225717425,1,0,1,151051.70971751877,0
15600218,Surname_218,483,Spain,Male,48,1,162210.0011111835,3,1,1,17337.953865760224,0
15600219,Surname_219,633,Spain,Female,76,1,171947.9023333731,4,1,0,113088.18084383424,0
15600220,Surname_220,377,France,Male,72,10,128778.7342196395,3,1,0,198797.90046905453,0
15600221,Surname_221,457,Germany,Male,36,4,187131.45672239293,2,1,0,47952.0619963918,0
15600222,Surname_222,393,Germany,Female,80,0,7422.732104621299,3,1,0,127263.20826434094,1
15600223,Surname_223,689,Germany,Male,19,9,64055.19904445972,3,1,0,61964.06784353853,0
15600224,Surname_224,635,France,Female,62,7,198612.59278498072,2,1,0,80581.85362626806,0
15600225,Surname_225,795,Spain,Male,60,1,234675.1109223461,2,1,0,16390.552075093517,0
15600226,Surname_226,680,Spain,Male,18,5,219021.95622954165,1,1,1,140704.24015834165,0
15600227,Surname_227,477,France,Male,78,4,179123.34224214708,3,0,0,155487.78950881693,0
15600228,Surname_228,697,Spain,Male,20,1,41374.200936421745,4,0,1,156854.18094437142,1
15600229,Surname_229,822,France,Female,61,9,92179.87890465748,2,1,1,194403.11491747136,0
15600230,Surname_230,580,France,Female,24,0,12553.172152853926,3,0,1,169196.75737671458,1
15600231,Surname_231,539,France,Male,50,5,159965.45084501713,2,0,0,49445.13844394819,1
15600232,Surname_232,574,France,Male,26,5,112465.80890415794,1,0,1,53805.72590190887,1
15600233,Surname_233,734,Spain,Male,47,2,143252.9692485658,2,1,1,155918.0761188458,0
15600234,Surname_234,726,France,Male,35,7,244838.22841862586,2,1,1,157612.2109696547,0
15600235,Surname_235,632,France,Female,73,8,100563.11125542458,1,0,0,33378.02615870796,0
15600236,Surname_236,795,France,Male,48,2,76677.5384987942,2,1,0,11260.141925685697,0
15600237,Surname_237,470,France,Male,89,8,37651.14864794242,1,1,1,86262.27900508256,0
15600238,Surname_238,465,France,Male,80,7,35902.45615141557,3,1,1,141988.04203683347,1
15600239,Surname_239,810,Germany,Female,67,4,129643.41465641277,3,1,1,174666.24146984366,0
15600240,Surname_240,582,France,Male,18,5,187307.0236940088,3,0,1,41412.7242084615,1
15600241,Surname_241,608,Spain,Female,36,0,141115.61582287512,4,0,0,164905.30696397272,0
15600242,Surname_242,708,Spain,Female,81,4,218323.16630007865,2,0,1,140046.34401191009,0
15600243,Surname_243,547,France,Male,70,9,78968.10588062853,1,0,1,41531.50270240662,0
15600244,Surname_244,805,Spain,Male,23,9,148761.647919325,2,1,1,175923.74893727413,0
15600245,Surname_245,760,France,Male,34,6,165310.42777387617,4,1,0,187267.83728980916,0
15600246,Surname_246,486,France,Female,63,0,70172.56918140661,2,1,1,60503.2993189983,0
15600247,Surname_247,667,France,Female,89,9,99076.02652370522,4,1,0,38251.32840637308,1
15600248,Surname_248,514,France,Male,90,8,147734.96857516974,2,1,0,193848.98531028,0
15600249,Surname_249,574,Germany,Female,72,6,5232.662266511812,4,1,1,14348.02891367954,0
15600250,Surname_250,656,Spain,Male,23,3,221652.7286496463,1,1,1,190195.92377896674,1
15600251,Surname_251,583,France,Male,87,10,27766.012055621457,2,1,0,51082.720194666166,0
15600252,Surname_252,521,Germany,Male,85,3,11889.474971179314,2,1,1,93244.75091827044,0
15600253,Surname_253,501,France,Male,57,10,53758.82167618592,1,1,1,68586.84601558845,0
15600254,Surname_254,812,Spain,Male,83,9,125579.49077312234,1,0,0,39204.53913510857,0
15600255,Surname_255,664,France,Male,26,6,82174.35095395833,3,0,0,76970.62518489936,0
15600256,Surname_256,723,France,Female,28,5,110036.40197635331,4,1,0,112457.08717769735,1
15600257,Surname_257,509,France,Female,37,2,21067.774769471776,1,1,0,27827.099205746144,0
15600258,Surname_258,445,France,Female,60,8,58276.15743064354,3,1,1,163743.6969658549,0
15600259,Surname_259,821,Germany,Male,75,5,24415.19907309622,4,0,1,162072.49100084786,1
15600260,Surname_260,582,Spain,Male,43,10,57426.64663531341,3,1,1,161521.51654300682,0
15600261,Surname_261,529,France,Male,55,1,175827.25671063186,2,0,0,140425.26457513258,0
15600262,Surname_262,462,Germany,Female,53,9,143822.6986853535,4,1,1,96499.85088801081,0
15600263,Surname_263,667,Germany,Male,72,1,83492.73113533568,2,0,0,168407.5983945447,0
15600264,Surname_264,846,Spain,Female,23,0,65306.816728040976,2,1,1,171851.3079522228,0
15600265,Surname_265,791,France,Male,20,10,249381.95818079985,2,0,0,64236.82936004093,0
15600266,Surname_266,401,France,Female,82,4,191966.92089862682,2,1,0,101380.54768093146,0
15600267,Surname_267,617,Spain,Male,81,9,205511.04735891617,2,0,0,48562.94540129365,1
15600268,Surname_268,644,Germany,Male,75,5,6591.159088450427,2,1,1,58600.18056428383,0
15600269,Surname_269,735,France,Female,75,2,14896.698494781147,3,1,0,55401.21075602956,0
15600270,Surname_270,736,France,Female,35,3,178153.61764063902,3,1,0,167119.96580363458,0
15600271,Surname_271,462,France,Female,40,4,47958.21390280075,4,0,0,57654.93860698535,0
15600272,Surname_272,450,Germany,Male,46,3,106413.85880181717,4,0,1,113799.6286315242,1
15600273,Surname_273,462,Germany,Female,40,8,46041.64508901537,4,0,0,129366.77488994163,0
15600274,Surname_274,789,France,Female,53,2,44267.976421626554,2,0,1,151489.7137127742,1
15600275,Surname_275,430,Germany,Male,87,4,27269.237922334876,2,1,0,15511.382315525661,0
15600276,Surname_276,536,Germany,Male,23,6,148565.0276040593,3,1,0,100392.01531597279,0
15600277,Surname_277,462,Germany,Female,51,6,184825.34325526905,3,1,1,65595.65342075986,0
15600278,Surname_278,351,Germany,Male,61,5,14211.150573136045,4,0,1,168455.04448535535,0
15600279,Surname_279,479,Spain,Female,61,8,68887.9604889944,1,1,0,16982.315861552404,0
15600280,Surname_280,569,France,Female,44,6,164592.0996610983,1,0,1,49328.87966643579,0
15600281,Surname_281,403,Spain,Female,69,10,98079.00561588121,2,0,1,69994.1603406391,0
15600282,Surname_282,692,France,Male,59,3,176166.47187141405,2,0,0,24789.86897232278,1
15600283,Surname_283,834,France,Female,42,10,189807.0533309166,2,1,1,85129.38797688586,1
15600284,Surname_284,573,France,Female,91,9,8073.50898017975,3,0,0,151315.99666904873,1
15600285,Surname_285,574,France,Male,56,8,95214.94457315915,2,0,1,50339.68290686131,0
15600286,Surname_286,734,France,Female,56,5,182284.73742381186,2,0,1,153349.0545793132,1
15600287,Surname_287,752,France,Female,29,0,94603.99588927123,2,0,1,110512.69976363392,0
15600288,Surname_288,475,Spain,Female,28,8,1458.3007464622488,1,0,1,75497.53385633708,0
15600289,Surname_289,479,France,Male,20,10,84075.7330939135,1,1,1,80073.1520003661,0
15600290,Surname_290,402,Germany,Female,39,6,218163.1891093824,4,0,1,32097.973584003837,0
15600291,Surname_291,521,France,Male,21,5,237984.72342312746,2,0,0,57458.39148950723,0
15600292,Surname_292,567,Spain,Male,25,5,140129.1606531133,3,0,0,148932.63461924516,0
15600293,Surname_293,509,Germany,Female,31,3,76590.02576025645,1,0,1,173921.66810304494,0
15600294,Surname_294,547,France,Female,31,3,116516.06204494441,4,1,1,60463.655447430625,0
15600295,Surname_295,765,Spain,Male,33,10,59050.881757668096,2,0,1,121847.1639469472,1
15600296,Surname_296,596,Germany,Female,49,2,42031.42356229303,1,1,1,16598.07479348953,1
15600297,Surname_297,673,Spain,Female,81,7,123383.81910800816,3,0,1,24707.185795081357,0
15600298,Surname_298,788,Germany,Male,33,7,184170.99721517795,3,0,0,193229.78180046295,0
15600299,Surname_299,552,Germany,Female,69,1,55616.20650946772,3,0,1,180336.1584379768,0
15600300,Surname_300,533,Spain,Female,36,4,227384.32824792643,3,1,0,25443.643951921596,0
